Transaction number,Supplier,Amount,Service Area,Category,Transaction Date,Period,Sme,Costs split between Babergh and Mid Suffolk District Council,% transactions apportioned to Babergh District Council
21019011,EDF Energy,890.81,Temporary Accommodation,Electricity,15/04/2025,202502,LRG,N,
21019011,EDF Energy,"2,579.02",Tenancy Services,Electricity,15/04/2025,202502,LRG,N,
21019011,EDF Energy,"3,817.34",Wingfield Barns,Electricity,15/04/2025,202502,LRG,N,
21019033,Cornerstone Barristers,"7,760.00",Development Management,Legal Expenses,11/04/2025,202502,SML,N,
21019055,Iceni Projects Limited,"1,250.00",Heritage,Consultancy Services,15/04/2025,202502,SML,N,
21019064,Penna Plc,"5,733.00",Development Policy and Local Plans,Agency Staff,15/04/2025,202502,SML,N,
21019065,Penna Plc,"8,599.50",Development Policy and Local Plans,Agency Staff,15/04/2025,202502,SML,N,
21019066,Penna Plc,"2,457.00",Development Policy and Local Plans,Agency Staff,15/04/2025,202502,SML,N,
21019067,Kingsley House Hotel,"1,155.00",Homeless Prevention Fund,Health and Safety Buildings,03/04/2025,202502,SML,N,
21019068,Kingsley House Hotel,"1,482.00",Homeless Prevention Fund,Health and Safety Buildings,03/04/2025,202502,SML,N,
21019071,Zapcarbon Ltd,"8,280.00",Damp and Mould,Contract Cleaning,28/03/2025,202502,SML,N,
21019071,Zapcarbon Ltd,"7,650.00",Damp and Mould,Surveys,28/03/2025,202502,SML,N,
21019121,Fellbridge Building Services,"2,133.49",Trades Team,"Property Repairs, Maintenance & Alterations",17/04/2025,202502,SML,N,
21019122,Fellbridge Building Services,"1,021.77",Trades Team,"Property Repairs, Maintenance & Alterations",17/04/2025,202502,SML,N,
21019123,Fellbridge Building Services,"1,657.36",Trades Team,"Property Repairs, Maintenance & Alterations",17/04/2025,202502,SML,N,
21019148,Aran Insulation Ltd,"5,320.00",Trades Team,"Property Repairs, Maintenance & Alterations",17/04/2025,202502,SML,N,
21019190,LAC Services (East Anglia) Ltd,281.82,Sheltered Accommodation,Health and Safety Buildings,22/04/2025,202502,SML,N,
21019190,LAC Services (East Anglia) Ltd,415.24,Health & Safety and Fire PAC,Health and Safety Buildings,22/04/2025,202502,SML,N,
21019261,Suffolk County Council,832.50,HR,Staff Advertising,23/04/2025,202502,LRG,Y,50%
21019284,Suffolk County Council,"2,122.00",HR,Staff Advertising,27/03/2025,202502,LRG,Y,50%
21019302,DTS East Ltd T/A Hudson Sign Solutions,"1,450.00",Stowmarket Street Cleansing (REACT),Vehicles & Plant Repairs,23/04/2025,202502,SML,N,
21019331,Suffolk County Council,"1,480.00",Asset Utilisation,Contracted Services,22/04/2025,202502,LRG,N,
21019334,Gasway Services Ltd,"21,143.16",Asset Management,Capital Improvements,24/04/2025,202502,SML,N,
21019335,Matrix SCM Ltd,"3,005.98",Development Policy and Local Plans,Consultancy Services,24/04/2025,202502,SML,N,
21019352,Matrix SCM Ltd,"3,005.98",Development Policy and Local Plans,Consultancy Services,24/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Borehamgate Shopping Centre,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Calais Street Depot,Contracted Services,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,320.00,Car Parks,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,480.00,Car Parks,Water Services,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Chilton Depot,Electricity,17/04/2025,202502,SML,Y,50%
21019362,Vertas Group Ltd,160.00,Chilton Depot,Water Services,17/04/2025,202502,SML,Y,50%
21019362,Vertas Group Ltd,160.00,Community Safety-CCTV,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,"1,120.00",Electric Vehicle (EV) Charge Points,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Hadleigh Market,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Hadleigh Pool,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Headquarters General,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Headquarters General,Gas,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,320.00,Headquarters General,Water Services,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Kingfisher Leisure Centre,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Navigation House,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Open Spaces,Vehicle & Plant Fuel,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Other HRA Temp Accommodation,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Other HRA Temp Accommodation,Gas,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Other HRA Temp Accommodation,Water Services,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Other Temporary Accommodation,Water Services,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,960.00,Public Conveniences,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,640.00,Public Conveniences,Water Services,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,960.00,Sewage Treatment Works,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,"1,920.00",Sheltered Accommodation,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,960.00,Sheltered Accommodation,Gas,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,160.00,Sheltered Accommodation,Heating Oil,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,"1,120.00",Sheltered Accommodation,Water Services,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,640.00,Temporary Accommodation,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,480.00,Temporary Accommodation,Gas,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,"2,240.00",Temporary Accommodation,Water Services,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,"10,720.00",Tenancy Services,Electricity,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,320.00,Tenancy Services,Heating Oil,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,480.00,Tenancy Services,Water Services,17/04/2025,202502,SML,N,
21019362,Vertas Group Ltd,320.00,Wenham Depot,Electricity,17/04/2025,202502,SML,Y,50%
21019362,Vertas Group Ltd,160.00,Wenham Depot,Heating Oil,17/04/2025,202502,SML,Y,50%
21019386,Mixbrow Ltd,"16,099.31",Building Services Assets,Payments to Contractors,23/04/2025,202502,SML,N,
21019403,Suffolk County Council,"14,154.00",Community Safety-General,"Grants, Contributions & Donations",23/04/2025,202502,LRG,Y,50%
21019416,L A C Cleaning Contractors Ltd,766.78,Sheltered Accommodation,Contract Cleaning,24/04/2025,202502,SML,N,
21019429,Suffolk Market Events Ltd,740.98,Hadleigh Market,Consultancy Services,25/04/2025,202502,SML,N,
21019443,Portal Plan Quest Ltd,578.00,Development Management,Planning Fees,28/04/2025,202502,SML,N,
21019453,Suffolk Doors & Windows Ltd,"1,040.00",Building Services Assets,Payments to Contractors,25/04/2025,202502,SML,N,
21019460,Eastec UK Ltd,780.00,Open Spaces,Training - Corporate,26/04/2025,202502,SML,Y,50%
21019493,East Anglia Cleaning Services Ltd,540.80,Public Conveniences,Cleaning Materials,28/04/2025,202502,SML,N,
21019499,District Councils' Network,"3,038.00",Senior Leadership Team,Subscriptions (non staff),24/04/2025,202502,LRG,N,
21019506,District Councils' Network,"2,723.00",Senior Leadership Team,Subscriptions (non staff),24/04/2025,202502,LRG,N,
21019510,Suffolk Doors & Windows Ltd,990.00,Building Services Assets,Payments to Contractors,28/04/2025,202502,SML,N,
21019516,Access Pay Suite,"16,150.00",ICT,IT Software Maintenance,29/04/2025,202502,LRG,Y,50%
21019520,Bell Container Trading Ltd,672.85,Open Spaces,Hire of Plant,28/04/2025,202502,SML,N,
21019529,Rapid Response Maintenance Ltd,"1,949.91",Voids,"Property Repairs, Maintenance & Alterations",24/04/2025,202502,SML,N,
21019533,Rapid Response Maintenance Ltd,"3,067.86",Voids,"Property Repairs, Maintenance & Alterations",29/04/2025,202502,SML,N,
21019538,EDF Energy,-0.69,Electric Vehicle (EV) Charge Points,Electricity,24/04/2025,202502,LRG,N,
21019538,EDF Energy,"13,222.30",Leisure Contract,Electricity,24/04/2025,202502,LRG,N,
21019538,EDF Energy,27.63,Other HRA Temp Accommodation,Electricity,24/04/2025,202502,LRG,N,
21019538,EDF Energy,-0.59,Other Temporary Accommodation,Electricity,24/04/2025,202502,LRG,N,
21019538,EDF Energy,-0.24,Public Conveniences,Electricity,24/04/2025,202502,LRG,N,
21019538,EDF Energy,-0.45,Pure Gym and Adjacent Building,Electricity,24/04/2025,202502,LRG,N,
21019538,EDF Energy,10.46,Sewage Treatment Works,Electricity,24/04/2025,202502,LRG,N,
21019538,EDF Energy,-2.17,Sheltered Accommodation,Electricity,24/04/2025,202502,LRG,N,
21019538,EDF Energy,-0.24,Temporary Accommodation,Electricity,24/04/2025,202502,LRG,N,
21019538,EDF Energy,-9.56,Tenancy Services,Electricity,24/04/2025,202502,LRG,N,
21019539,URBA,"4,750.00",Development Management,Consultancy Services,29/04/2025,202502,SML,N,
21019541,Metric Group Ltd,"2,128.42",Car Parks,Contracted Services,05/03/2025,202502,SML,N,
21019563,Rapid Response Maintenance Ltd,521.19,Voids,"Property Repairs, Maintenance & Alterations",15/04/2025,202502,SML,N,
21019566,Lacy Scott & Knight,800.00,Housing Ownership,Valuation Fees,28/04/2025,202502,SML,N,
21019582,Suffolk Doors & Windows Ltd,750.00,Building Services Assets,Payments to Contractors,29/04/2025,202502,SML,N,
21019584,Suffolk Doors & Windows Ltd,990.00,Building Services Assets,Payments to Contractors,29/04/2025,202502,SML,N,
21019585,Idox Software Ltd,"3,050.00",Community Safety-General,Software Licenses - Line of Business,29/04/2025,202502,SML,N,
21019590,Hays Specialist Recruitment Ltd,994.20,Tenants Forum,External Consultants,29/05/2025,202502,LRG,Y,50%
21019590,Hays Specialist Recruitment Ltd,"1,491.28",Asset Management,External Consultants,29/05/2025,202502,LRG,Y,50%
21019600,Mixbrow Ltd,"3,112.50",Building Services Assets,Payments to Contractors,24/04/2025,202502,SML,N,
21019601,T H Moss And Sons Ltd,"1,210.10",Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019603,T H Moss And Sons Ltd,"1,190.00",Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019606,Seager Home Solutions,"15,818.77",Building Services Assets,Payments to Contractors,29/04/2025,202502,SML,N,
21019607,Seager Home Solutions,"46,239.28",Building Services Assets,Payments to Contractors,29/04/2025,202502,SML,N,
21019608,Faithorn Farrell Timms,"5,145.00",Building Services Compliance,Contracted Services,29/04/2025,202502,SML,Y,48%
21019613,L A C Cleaning Contractors Ltd,"2,850.50",Voids,"Property Repairs, Maintenance & Alterations",30/04/2025,202502,SML,N,
21019614,L A C Cleaning Contractors Ltd,948.61,Temporary Accommodation,Contract Cleaning,24/04/2025,202502,SML,N,
21019616,L A C Cleaning Contractors Ltd,"1,775.50",Voids,"Property Repairs, Maintenance & Alterations",30/04/2025,202502,SML,N,
21019620,Carter Jonas LLP,600.00,Asset Utilisation,Consultancy Services,30/04/2025,202502,LRG,N,
21019626,Idox Software Ltd,"3,050.00",Community Safety-General,Software Licenses - Line of Business,30/04/2025,202502,SML,N,
21019627,Abbeycroft Leisure,"7,275.00",Healthy Behaviours Partnership,Major Contracts,30/04/2025,202502,LRG,N,
21019628,Washco Ltd,"1,800.00",Sheltered Accommodation,"Purchase of Equipment, Tools & Materials",30/04/2025,202502,SML,N,
21019632,Aran Insulation Ltd,816.00,Trades Team,"Property Repairs, Maintenance & Alterations",30/04/2025,202502,SML,N,
21019638,M & H Civil Engineering Ltd,"15,797.97",Building Services Assets,"Property Repairs, Maintenance & Alterations",30/04/2025,202502,SML,N,
21019639,The Oyster Partnership Ltd,"1,749.92",Building Services Compliance,Agency Staff,30/04/2025,202502,SML,Y,52%
21019643,T H Moss And Sons Ltd,"2,040.00",Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019647,T H Moss And Sons Ltd,"1,588.00",Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019648,T H Moss And Sons Ltd,690.00,Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019649,T H Moss And Sons Ltd,"3,680.00",Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019650,Mixbrow Ltd,"2,544.49",Voids,"Property Repairs, Maintenance & Alterations",29/04/2025,202502,SML,N,
21019651,T H Moss And Sons Ltd,982.00,Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019652,T H Moss And Sons Ltd,615.00,Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019660,T H Moss And Sons Ltd,848.00,Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019661,T H Moss And Sons Ltd,580.00,Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019663,T H Moss And Sons Ltd,"2,485.00",Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019664,T H Moss And Sons Ltd,"1,395.00",Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019666,T H Moss And Sons Ltd,790.00,Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019668,Bower Fuller,901.40,Public Conveniences,Grounds & Site Maintenance,30/04/2025,202502,SML,N,
21019669,T H Moss And Sons Ltd,"1,190.00",Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019673,T H Moss And Sons Ltd,"1,413.45",Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019674,Mixbrow Ltd,"7,208.44",Building Services Assets,Payments to Contractors,22/04/2025,202502,SML,N,
21019676,Arlingclose Ltd,"4,500.00",Treasury Management,Consultancy Services,30/04/2025,202502,SML,Y,50%
21019678,Baily Garner LLP,"1,600.00",Building Services Assets,External Consultants,30/04/2025,202502,SML,Y,50%
21019680,Origin Amenity Solutions Ltd,788.80,Open Spaces,"Purchase of Equipment, Tools & Materials",30/04/2025,202502,SML,N,
21019681,Whybrow Property Solutions Ltd,"6,286.51",Building Services Compliance,Other Capital Expenditure,30/04/2025,202502,SML,N,
21019682,Washco Ltd,"2,606.00",Sheltered Accommodation,"Purchase of Equipment, Tools & Materials",30/04/2025,202502,SML,N,
21019684,Gipping Occupational Health Ltd,814.00,Health and Safety,Contracted Services,25/04/2025,202502,SML,Y,50%
21019685,Eezybike Ltd,"6,000.00",BRRP - Babergh Sustainable Travel,Contracted Services,28/04/2025,202502,SML,N,
21019692,Kicks & Tricks Ltd,"1,512.00",Holiday Activity Fund,"Grants, Contributions & Donations",01/05/2025,202502,SML,N,
21019692,Kicks & Tricks Ltd,"2,652.00",Holiday Activity Fund,"Grants, Contributions & Donations",01/05/2025,202502,SML,N,
21019696,Studley Capital Ltd,"1,425.00",MSM Feasibility and Match Funding,Consultancy Services,01/05/2025,202502,STR,N,
21019697,L A C Cleaning Contractors Ltd,785.50,Other Temporary Accommodation,Contract Cleaning,01/05/2025,202502,SML,N,
21019698,Bower Fuller,"2,350.00",Sheltered General Management,Asbestos Removal,30/04/2025,202502,SML,N,
21019703,P.Bowyer Associates Ltd t/a Dyno Rod,"1,900.00",New Build Programme,Surveys,29/04/2025,202502,SML,N,
21019712,Lofty Heights Ltd,"1,440.00",Tenancy Services,Waste disposal costs,30/04/2025,202502,SML,N,
21019713,Badwell Ash PCC No 2 Deposit,690.00,Open Spaces,Grounds & Site Maintenance,25/03/2025,202502,SML,N,
21019714,Residentially Chartered Surveyors,"2,400.00",New Build Programme,External Consultants,15/04/2025,202502,SML,N,
21019716,NEC Software Solutions UK Ltd,"5,895.66",Environmental Protection,Software Licenses - Line of Business,30/04/2025,202502,LRG,Y,50%
21019716,NEC Software Solutions UK Ltd,"5,895.66",Food and Safety (General),Software Licenses - Line of Business,30/04/2025,202502,LRG,Y,50%
21019716,NEC Software Solutions UK Ltd,"5,895.68",Licensing,Software Licenses - Line of Business,30/04/2025,202502,LRG,Y,50%
21019717,Law Morgan Ltd T/A Morgan Law,"1,595.16",Financial Resources,Agency Staff,01/05/2025,202502,SML,Y,50%
21019719,Tayplay Sport Ltd,745.12,Holiday Activity Fund,"Grants, Contributions & Donations",01/05/2025,202502,SML,N,
21019720,Nagels UK Ltd,955.00,Car Parks,Stationery,01/05/2025,202502,SML,N,
21019721,Prestige Sports Development Ltd,"2,772.00",Holiday Activity Fund,"Grants, Contributions & Donations",01/05/2025,202502,SML,N,
21019722,Sunflowers Childcare,"2,214.90",Holiday Activity Fund,"Grants, Contributions & Donations",01/05/2025,202502,SML,N,
21019726,Gipping Press Ltd,946.00,Sustainable Travel,"Purchase of Equipment, Tools & Materials",30/04/2025,202502,SML,N,
21019729,Stage Event Security Ltd,"1,353.00",Open Spaces,Contracted Services,30/04/2025,202502,SML,N,
21019730,Richard Utting Associates LLP,"2,000.00",New Build Programme,External Consultants,30/04/2025,202502,SML,N,
21019731,Aran Insulation Ltd,"1,043.00",Trades Team,"Property Repairs, Maintenance & Alterations",30/04/2025,202502,SML,N,
21019731,Aran Insulation Ltd,653.42,Damp and Mould,Surveys,30/04/2025,202502,SML,N,
21019733,Cornerstone Barristers,"7,760.00",Development Management,Legal Expenses,11/04/2025,202502,SML,N,
21019737,Bucher Municipal Ltd,512.48,Street and Major Road Cleansing,Vehicles & Plant Repairs,02/05/2025,202502,LRG,N,
21019743,Reed Specialist Recruitment Ltd,960.15,Financial Resources,Agency Staff,01/05/2025,202502,LRG,Y,50%
21019746,TIAA Ltd,"5,330.00",Internal Audit,Consultancy Services,01/05/2025,202502,SML,Y,50%
21019751,Allstar Business Solutions Ltd,"9,322.13",Trades Team,Vehicle & Plant Fuel,30/04/2025,202502,SML,Y,52%
21019753,D W Adams Ltd,"5,825.00",Building Services Assets,Payments to Contractors,02/05/2025,202502,SML,N,
21019755,D W Adams Ltd,700.00,Building Services Assets,Payments to Contractors,02/05/2025,202502,SML,N,
21019771,Equans Regeneration Ltd,"400,347.63",Building Services Assets,Capital Improvements,15/04/2025,202502,LRG,N,
21019772,Workwear (East Anglia) Ltd,761.64,Open Spaces,Clothing & Uniforms,30/04/2025,202502,SML,N,
21019774,East Suffolk Council,"4,130.41",RECHARGES  Recreational Disturbance Avoidance and Mitigation Strategy,"Grants, Contributions & Donations",01/05/2025,202502,LRG,N,
21019776,Bucher Municipal Ltd,563.70,Street and Major Road Cleansing,"Purchase of Equipment, Tools & Materials",02/05/2025,202502,LRG,N,
21019778,T H Moss And Sons Ltd,"4,022.00",Trades Team,"Property Repairs, Maintenance & Alterations",30/04/2025,202502,SML,N,
21019779,T H Moss And Sons Ltd,"1,045.00",Trades Team,"Property Repairs, Maintenance & Alterations",30/04/2025,202502,SML,N,
21019780,T H Moss And Sons Ltd,"2,445.00",Trades Team,"Property Repairs, Maintenance & Alterations",30/04/2025,202502,SML,N,
21019782,T H Moss And Sons Ltd,"1,086.00",Trades Team,"Property Repairs, Maintenance & Alterations",30/04/2025,202502,SML,N,
21019784,Bevan Brittan LLP,"2,588.50",Trades Team,Legal Expenses,28/04/2025,202502,LRG,N,
21019789,Suffolk Tree Services Ltd,"4,750.00",Public Tree Programme,Tree felling/maintenance,02/05/2025,202502,SML,N,
21019791,Bell Decorating Group Ltd,"5,454.00",Creeting Road Depot,"Property Repairs, Maintenance & Alterations",30/04/2025,202502,LRG,Y,50%
21019792,Ainger Holbrows Ltd,600.00,Licensing,Vehicles & Plant Repairs,02/05/2025,202502,SML,N,
21019794,Cornerstone Barristers,"4,856.25",Heritage,Legal Expenses,22/04/2025,202502,SML,N,
21019797,Oracle Managed Services,"7,216.71",Building Services Compliance,Health and Safety Buildings,30/04/2025,202502,SML,N,
21019800,Mercury Building Services Ltd,515.00,Hadleigh Pool and Leisure Centre,"Property Repairs, Maintenance & Alterations",05/05/2025,202502,SML,N,
21019801,Mercury Building Services Ltd,985.00,Kingfisher Leisure Centre,"Property Repairs, Maintenance & Alterations",05/05/2025,202502,SML,N,
21019802,M & H Civil Engineering Ltd,864.07,Trades Team,"Property Repairs, Maintenance & Alterations",02/05/2025,202502,SML,N,
21019803,Maxim Sports Coaching,969.00,Holiday Activity Fund,"Grants, Contributions & Donations",06/05/2025,202502,SML,N,
21019804,Surefix,920.00,Voids,"Property Repairs, Maintenance & Alterations",22/04/2025,202502,SML,N,
21019805,Surefix,"1,690.00",Building Services Assets,Payments to Contractors,02/05/2025,202502,SML,N,
21019806,T H Moss And Sons Ltd,"2,452.45",Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019807,All Star Training,595.00,Trades Team,"Purchase of Equipment, Tools & Materials",06/05/2025,202502,SML,Y,48%
21019816,Suffolk Doors & Windows Ltd,"1,150.00",Building Services Assets,Payments to Contractors,06/05/2025,202502,SML,N,
21019817,EKB Cleaning Ltd,"1,757.20",Public Conveniences,Contract Cleaning,30/04/2025,202502,SML,N,
21019823,Fellbridge Building Services,"6,399.29",Voids,"Property Repairs, Maintenance & Alterations",06/05/2025,202502,SML,N,
21019824,Fellbridge Building Services,"6,203.46",Voids,"Property Repairs, Maintenance & Alterations",06/05/2025,202502,SML,N,
21019826,Vivid Resourcing,"2,750.00",Financial Resources,Agency Staff,06/05/2025,202502,SML,Y,50%
21019830,A E White Surfacing,"9,400.00",Building Services Assets,Estate Maintenance,06/05/2025,202502,SML,N,
21019832,LAC Services (East Anglia) Ltd,"3,797.96",Tenancy Services,Health and Safety Buildings,06/05/2025,202502,SML,N,
21019834,Private Landlord,925.00,Guaranteed Rent Scheme,Building Rents,06/05/2025,202502,STR,N,
21019836,Private Landlord,925.00,Guaranteed Rent Scheme,Building Rents,06/05/2025,202502,STR,N,
21019838,Private Landlord,"1,400.00",Guaranteed Rent Scheme,Building Rents,06/05/2025,202502,STR,N,
21019839,Gallagher Car & Van Rentals Ltd,506.00,Domestic Waste,Refuse Contract,02/05/2025,202502,LRG,N,
21019840,Richard Utting Associates LLP,"1,650.00",Other Temporary Accommodation,Contracted Services,30/04/2025,202502,SML,N,
21019842,T H Moss And Sons Ltd,"1,086.38",Trades Team,"Property Repairs, Maintenance & Alterations",28/04/2025,202502,SML,N,
21019843,AWICS Ltd,"1,500.00",Tenancy Services,Consultancy Services,14/03/2025,202502,SML,Y,50%
21019844,GCS Compliance Ltd,757.20,Building Services Compliance,Contract: Heating,30/04/2025,202502,SML,N,
21019846,Whybrow Property Solutions Ltd,"1,260.00",Trades Team,"Property Repairs, Maintenance & Alterations",25/04/2025,202502,SML,N,
21019848,Switch2 Energy Limited,619.47,Building Services Compliance,"Property Repairs, Maintenance & Alterations",31/03/2025,202502,SML,N,
21019849,Switch2 Energy Limited,788.09,Building Services Compliance,"Property Repairs, Maintenance & Alterations",31/03/2025,202502,SML,N,
21019850,Essex County Council,"1,571.20",Development Management,Consultancy Services,06/05/2025,202502,LRG,N,
21019851,Paul Wright & Co,800.00,Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,SML,N,
21019852,Fenn Wright LLP (Client Rent Account),"1,025.00",Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,SML,N,
21019854,T H Moss And Sons Ltd,"1,107.00",Trades Team,"Property Repairs, Maintenance & Alterations",30/04/2025,202502,SML,N,
21019855,Private Landlord,550.00,Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,STR,N,
21019856,Storetec Services Ltd,"1,068.94",Information Mangement,Contracted Services,30/04/2025,202502,SML,Y,50%
21019857,Acuity Research & Practice Ltd,670.00,Regulatory and Support Services,Subscriptions (non staff),10/04/2025,202502,SML,Y,50%
21019867,Metric Group Ltd,"2,792.72",Car Parks,Contracted Services,03/04/2025,202502,SML,N,
21019868,Mendlesham Homes Ltd,"1,300.00",Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,SML,N,
21019869,Aran Insulation Ltd,669.06,Building Services Assets,Capital Improvements,07/05/2025,202502,SML,N,
21019871,Casanovas Recruitment Solutions Ltd,930.00,Financial Resources,Agency Staff,30/04/2025,202502,SML,Y,50%
21019872,Casanovas Recruitment Solutions Ltd,"1,110.00",Financial Resources,Agency Staff,06/05/2025,202502,SML,Y,50%
21019875,Private Landlord,"1,000.00",Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,STR,N,
21019878,Earth Anchors Ltd,665.00,Open Spaces,Other Capital Expenditure,07/05/2025,202502,SML,N,
21019880,Private Landlord,760.00,Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,STR,N,
21019882,Hamilton Smith Lettings,590.00,Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,SML,N,
21019883,Chipside Ltd,"1,480.67",Car Parks,Contracted Services,30/04/2025,202502,SML,N,
21019884,Chipside Ltd,"1,180.00",Car Parks,Contracted Services,30/04/2025,202502,SML,N,
21019889,Private Landlord,595.00,Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,STR,N,
21019891,Paul Wright & Co,775.00,Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,SML,N,
21019892,Private Landlord,600.00,Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,STR,N,
21019893,ETO Green Property Ltd,"1,000.00",Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,SML,N,
21019894,Private Landlord,900.00,Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,STR,N,
21019896,G2 Recruitment Solutions,"2,625.00",HRA Accountancy,Agency Staff,06/05/2025,202502,SML,Y,50%
21019898,International Parking Systems UK Ltd,550.00,Car Parks,Other Supplies & Services,06/05/2025,202502,LRG,N,
21019899,Private Landlord,690.00,Guaranteed Rent Scheme,Building Rents,05/06/2025,202502,STR,N,
21019900,Whybrow Property Solutions Ltd,"4,412.54",Building Services Assets,Payments to Contractors,06/05/2025,202502,SML,N,
21019902,Newsquest Media Group,908.80,Development Management,"Publicity, Advertising & Marketing",07/05/2025,202502,LRG,N,
21019903,The Oyster Partnership Ltd,"2,205.40",Building Services Compliance,Agency Staff,07/05/2025,202502,SML,Y,52%
21019906,Hays Specialist Recruitment Ltd,"1,242.74",Tenants Forum,External Consultants,06/05/2025,202502,LRG,Y,50%
21019906,Hays Specialist Recruitment Ltd,"1,864.12",Asset Management,External Consultants,06/05/2025,202502,LRG,Y,50%
21019907,Totalmobile Ltd,641.25,HRA ICT,IT Software Purchase,30/04/2025,202502,SML,Y,50%
21019912,Button & Turner Ltd,900.83,Open Spaces,Vehicles & Plant Repairs,01/04/2025,202502,SML,N,
21019932,LAC Services (East Anglia) Ltd,"5,268.21",Building Services Compliance,Capital Improvements,07/05/2025,202502,SML,N,
21019933,LAC Services (East Anglia) Ltd,"2,833.71",Health & Safety and Fire PAC,Health and Safety Buildings,07/05/2025,202502,SML,N,
21019934,Richard Utting Associates LLP,"2,470.00",New Build Programme,External Consultants,01/05/2025,202502,SML,N,
21019935,Solutions On Security Services,650.00,Creeting Road Depot,Security / Surveillance Equipment Maintenance,01/05/2025,202502,SML,Y,50%
21019937,Orwell Removals & Storage Ltd,"1,075.00",Homeless Prevention Fund,Removal Expenses,01/05/2025,202502,SML,N,
21019938,Paul Wright & Co,560.00,Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,SML,N,
21019939,Hamilton Smith Lettings,570.00,Guaranteed Rent Scheme,Building Rents,07/05/2025,202502,SML,N,
